237,禾,5,31234,U+79BE,BACC,hé,he,2
238,丘,5,32121,U+4E18,C7F0,qiū,qiu,1
239,付,5,32124,U+4ED8,B8B6,fù,fu,4
240,仗,5,32134,U+4ED7,D5CC,zhànɡ,zhang,4
241,代,5,32154,U+4EE3,B4FA,dài,dai,4
242,仙,5,32252,U+4ED9,CFC9,xiān,xian,1
243,们,5,32425,U+4EEC,C3C7,mén,men,2
244,仪,5,32434,U+4EEA,D2C7,yí,yi,2
245,白,5,32511,U+767D,B0D7,bái,bai,2
246,仔,5,32521,U+4ED4,D7D0,zǎi,zai,3
247,他,5,32525,U+4ED6,CBFB,tā,ta,1
248,斥,5,33124,U+65A5,B3E2,chì,chi,4
249,瓜,5,33544,U+74DC,B9CF,ɡuā,gua,1
250,乎,5,34312,U+4E4E,BAF5,hū,hu,1
251,丛,5,34341,U+4E1B,B4D4,cónɡ,cong,2
252,令,5,34454,U+4EE4,C1EE,lìnɡ,ling,4
253,用,5,35112,U+7528,D3C3,yònɡ,yong,4
254,甩,5,35115,U+7529,CBA6,shuǎi,shuai,3
255,印,5,35152,U+5370,D3A1,yìn,yin,4
256,乐,5,35234,U+4E50,C0D6,lè,le,4
257,句,5,35251,U+53E5,BEE4,jù,ju,4
258,匆,5,35334,U+5306,B4D2,cōnɡ,cong,1
259,册,5,35351,U+518C,B2E1,cè,ce,4
260,犯,5,35355,U+72AF,B7B8,fàn,fan,4
261,外,5,35424,U+5916,CDE2,wài,wai,4
262,处,5,35424,U+5904,B4A6,chǔ,chu,3
263,冬,5,35444,U+51AC,B6AC,dōnɡ,dong,1
264,鸟,5,35451,U+9E1F,C4F1,niǎo,niao,3
265,务,5,35453,U+52A1,CEF1,wù,wu,4
266,包,5,35515,U+5305,B0FC,bāo,bao,1
267,饥,5,35535,U+9965,BCA2,jī,ji,1
268,主,5,41121,U+4E3B,D6F7,zhǔ,zhu,3
269,市,5,41252,U+5E02,CAD0,shì,shi,4
270,立,5,41431,U+7ACB,C1A2,lì,li,4
271,闪,5,42534,U+95EA,C9C1,shǎn,shan,3
272,兰,5,43111,U+5170,C0BC,lán,lan,2
273,半,5,43112,U+534A,B0EB,bàn,ban,4
274,汁,5,44112,U+6C41,D6AD,zhī,zhi,1
275,汇,5,44115,U+6C47,BBE3,huì,hui,4
276,头,5,44134,U+5934,CDB7,tóu,tou,2
277,汉,5,44154,U+6C49,BABA,hàn,han,4
278,宁,5,44512,U+5B81,C4FE,nínɡ,ning,2
279,穴,5,44534,U+7A74,D1A8,xué,xue,2
280,它,5,44535,U+5B83,CBFC,tā,ta,1
281,讨,5,45124,U+8BA8,CCD6,tǎo,tao,3
282,写,5,45151,U+5199,D0B4,xiě,xie,3
283,让,5,45211,U+8BA9,C8C3,rànɡ,rang,4
284,礼,5,45245,U+793C,C0F1,lǐ,li,3
285,训,5,45322,U+8BAD,D1B5,xùn,xun,4
286,必,5,45434,U+5FC5,B1D8,bì,bi,4
287,议,5,45434,U+8BAE,D2E9,yì,yi,4
288,讯,5,45512,U+8BAF,D1B6,xùn,xun,4
289,记,5,45515,U+8BB0,BCC7,jì,ji,4
290,永,5,45534,U+6C38,D3C0,yǒnɡ,yong,3
291,司,5,51251,U+53F8,CBBE,sī,si,1
292,尼,5,51335,U+5C3C,C4E1,ní,ni,2
293,民,5,51515,U+6C11,C3F1,mín,min,2
294,出,5,52252,U+51FA,B3F6,chū,chu,1
295,辽,5,52454,U+8FBD,C1C9,liáo,liao,2
296,奶,5,53153,U+5976,C4CC,nǎi,nai,3
297,奴,5,53154,U+5974,C5AB,nú,nu,2
298,加,5,53251,U+52A0,BCD3,jiā,jia,1
299,召,5,53251,U+53EC,D5D9,zhào,zhao,4
300,皮,5,53254,U+76AE,C6A4,pí,pi,2
301,边,5,53454,U+8FB9,B1DF,biān,bian,1
302,发,5,53544,U+53D1,B7A2,fā,fa,1
303,孕,5,53521,U+5B55,D4D0,yùn,yun,4
304,圣,5,54121,U+5723,CAA5,shènɡ,sheng,4
305,对,5,54124,U+5BF9,B6D4,duì,dui,4
306,台,5,54251,U+53F0,CCA8,tái,tai,2
307,矛,5,54523,U+77DB,C3AC,máo,mao,2
308,纠,5,55152,U+7EA0,BEC0,jiū,jiu,1
309,母,5,55414,U+6BCD,C4B8,mǔ,mu,3
310,幼,5,55453,U+5E7C,D3D7,yòu,you,4
311,丝,5,55551,U+4E1D,CBBF,sī,si,1
312,式,6,112154,U+5F0F,CABD,shì,shi,4
313,刑,6,113222,U+5211,D0CC,xínɡ,xing,2
314,动,6,115453,U+52A8,B6AF,dònɡ,dong,4
315,扛,6,121121,U+625B,BFB8,kánɡ,kang,2
316,寺,6,121124,U+5BFA,CBC2,sì,si,4
317,吉,6,121251,U+5409,BCAA,jí,ji,2
318,扣,6,121251,U+6263,BFDB,kòu,kou,4
319,考,6,121315,U+8003,BFBC,kǎo,kao,3
320,托,6,121315,U+6258,CDD0,tuō,tuo,1
321,老,6,121335,U+8001,C0CF,lǎo,lao,3
322,执,6,121354,U+6267,D6B4,zhí,zhi,2
323,巩,6,121354,U+5DE9,B9AE,ɡǒnɡ,gong,3
324,圾,6,121354,U+573E,BBF8,jī,ji,1
325,扩,6,121413,U+6269,C0A9,kuò,kuo,4
326,扫,6,121511,U+626B,C9A8,sǎo,sao,3
327,地,6,121525,U+5730,B5D8,dì,di,4
328,扬,6,121533,U+626C,D1EF,yánɡ,yang,2
329,场,6,121533,U+573A,B3A1,chǎnɡ,chang,3
330,耳,6,122111,U+8033,B6FA,ěr,er,3
331,共,6,122134,U+5171,B9B2,ɡònɡ,gong,4
332,芒,6,122415,U+8292,C3A2,mánɡ,mang,2
333,亚,6,122431,U+4E9A,D1C7,yà,ya,4
334,芝,6,122454,U+829D,D6A5,zhī,zhi,1
335,朽,6,123415,U+673D,D0E0,xiǔ,xiu,3
336,朴,6,123424,U+6734,C6D3,pǔ,pu,3
337,机,6,123435,U+673A,BBFA,jī,ji,1
338,权,6,123454,U+6743,C8A8,quán,quan,2
339,过,6,124454,U+8FC7,B9FD,ɡuò,guo,4
340,臣,6,125125,U+81E3,B3BC,chén,chen,2
341,再,6,125211,U+518D,D4D9,zài,zai,4
342,协,6,125344,U+534F,D0AD,xié,xie,2
343,西,6,125351,U+897F,CEF7,xī,xi,1
344,压,6,131214,U+538B,D1B9,yā,ya,1
345,厌,6,131344,U+538C,D1E1,yàn,yan,4
346,在,6,132121,U+5728,D4DA,zài,zai,4
347,有,6,132511,U+6709,D3D0,yǒu,you,3
348,百,6,132511,U+767E,B0D9,bǎi,bai,3
349,存,6,132521,U+5B58,B4E6,cún,cun,2
350,而,6,132522,U+800C,B6F8,ér,er,2
351,页,6,132534,U+9875,D2B3,yè,ye,4
352,匠,6,133125,U+5320,BDB3,jiànɡ,jiang,4
353,夸,6,134115,U+5938,BFE4,kuā,kua,1
354,夺,6,134124,U+593A,B6E1,duó,duo,2
355,灰,6,134334,U+7070,BBD2,huī,hui,1
356,达,6,134454,U+8FBE,B4EF,dá,da,2
357,列,6,135422,U+5217,C1D0,liè,lie,4
358,死,6,135435,U+6B7B,CBC0,sǐ,si,3
359,成,6,135534,U+6210,B3C9,chénɡ,cheng,2
360,夹,6,143134,U+5939,BCD0,jiā,jia,1
361,轨,6,152135,U+8F68,B9EC,ɡuǐ,gui,3
362,邪,6,152352,U+90AA,D0B0,xié,xie,2
363,划,6,153422,U+5212,BBAE,huá,hua,2
364,迈,6,153454,U+8FC8,C2F5,mài,mai,4
365,毕,6,153512,U+6BD5,B1CF,bì,bi,4
366,至,6,154121,U+81F3,D6C1,zhì,zhi,4
367,此,6,212135,U+6B64,B4CB,cǐ,ci,3
368,贞,6,212534,U+8D1E,D5EA,zhēn,zhen,1
369,师,6,231252,U+5E08,CAA6,shī,shi,1
370,尘,6,234121,U+5C18,B3BE,chén,chen,2
371,尖,6,234134,U+5C16,BCE2,jiān,jian,1
372,劣,6,234353,U+52A3,C1D3,liè,lie,4
373,光,6,243135,U+5149,B9E2,ɡuānɡ,guang,1
374,当,6,243511,U+5F53,B5B1,dānɡ,dang,1
375,早,6,251112,U+65E9,D4E7,zǎo,zao,3
376,吐,6,251121,U+5410,CDC2,tǔ,tu,3
377,吓,6,251124,U+5413,CFC5,xià,xia,4
378,虫,6,251214,U+866B,B3E6,chónɡ,chong,2
379,曲,6,251221,U+66F2,C7FA,qǔ,qu,3
380,团,6,251231,U+56E2,CDC5,tuán,tuan,2
381,同,6,251251,U+540C,CDAC,tónɡ,tong,2
382,吊,6,251252,U+540A,B5F5,diào,diao,4
383,吃,6,251315,U+5403,B3D4,chī,chi,1
384,因,6,251341,U+56E0,D2F2,yīn,yin,1
385,吸,6,251354,U+5438,CEFC,xī,xi,1
386,吗,6,251551,U+5417,C2F0,ma,ma,0
387,屿,6,252151,U+5C7F,D3EC,yǔ,yu,3
388,帆,6,252354,U+5E06,B7AB,fān,fan,1
389,岁,6,252354,U+5C81,CBEA,suì,sui,4
390,回,6,252511,U+56DE,BBD8,huí,hui,2
391,岂,6,252515,U+5C82,C6F1,qǐ,qi,3
392,刚,6,253422,U+521A,B8D5,ɡānɡ,gang,1
393,则,6,253422,U+5219,D4F2,zé,ze,2
394,肉,6,253434,U+8089,C8E2,ròu,rou,4
395,网,6,253434,U+7F51,CDF8,wǎnɡ,wang,3
396,年,6,311212,U+5E74,C4EA,nián,nian,2
397,朱,6,311234,U+6731,D6EC,zhū,zhu,1
398,先,6,312135,U+5148,CFC8,xiān,xian,1
399,丢,6,312154,U+4E22,B6AA,diu1,diu1,0
400,舌,6,312251,U+820C,C9E0,shé,she,2
401,竹,6,312312,U+7AF9,D6F1,zhú,zhu,2
402,迁,6,312454,U+8FC1,C7A8,qiān,qian,1
403,乔,6,313432,U+4E54,C7C7,qiáo,qiao,2
404,伟,6,321152,U+4F1F,CEB0,wěi,wei,3
405,传,6,321154,U+4F20,B4AB,chuán,chuan,2
406,乒,6,321213,U+4E52,C6B9,pīnɡ,ping,1
407,乓,6,321214,U+4E53,C5D2,pānɡ,pang,1
408,休,6,321234,U+4F11,D0DD,xiū,xiu,1
409,伍,6,321251,U+4F0D,CEE9,wǔ,wu,3
410,伏,6,321344,U+4F0F,B7FC,fú,fu,2
411,优,6,321354,U+4F18,D3C5,yōu,you,1
412,伐,6,321534,U+4F10,B7A5,fá,fa,2
413,延,6,321554,U+5EF6,D1D3,yán,yan,2
414,件,6,323112,U+4EF6,BCFE,jiàn,jian,4
415,任,6,323121,U+4EFB,C8CE,rèn,ren,4
416,伤,6,323153,U+4F24,C9CB,shānɡ,shang,1
417,价,6,323432,U+4EF7,BCDB,jià,jia,4
418,份,6,323453,U+4EFD,B7DD,fèn,fen,4
419,华,6,323512,U+534E,BBAA,huá,hua,2
420,仰,6,323552,U+4EF0,D1F6,yǎnɡ,yang,3
421,仿,6,324153,U+4EFF,B7C2,fǎnɡ,fang,3
422,伙,6,324334,U+4F19,BBEF,huǒ,huo,3
423,伪,6,324354,U+4F2A,CEB1,wěi,wei,3
424,自,6,325111,U+81EA,D7D4,zì,zi,4
425,血,6,325221,U+8840,D1AA,xuè,xue,4
426,向,6,325251,U+5411,CFF2,xiànɡ,xiang,4
427,似,6,325434,U+4F3C,CBC6,sì,si,4
428,后,6,331251,U+540E,BAF3,hòu,hou,4
429,行,6,332112,U+884C,D0D0,xínɡ,xing,2
430,舟,6,335414,U+821F,D6DB,zhōu,zhou,1
431,全,6,341121,U+5168,C8AB,quán,quan,2
432,会,6,341154,U+4F1A,BBE1,huì,hui,4
433,杀,6,341234,U+6740,C9B1,shā,sha,1
434,合,6,341251,U+5408,BACF,hé,he,2
435,兆,6,341534,U+5146,D5D7,zhào,zhao,4
436,企,6,342121,U+4F01,C6F3,qǐ,qi,3
437,众,6,343434,U+4F17,D6DA,zhònɡ,zhong,4
438,爷,6,343452,U+7237,D2AF,yé,ye,2
439,伞,6,344312,U+4F1E,C9A1,sǎn,san,3
440,创,6,345522,U+521B,B4B4,chuànɡ,chuang,4
441,肌,6,351135,U+808C,BCA1,jī,ji,1
442,朵,6,351234,U+6735,B6E4,duǒ,duo,3
443,杂,6,351234,U+6742,D4D3,zá,za,2
444,危,6,351355,U+5371,CEA3,wēi,wei,1
445,旬,6,352511,U+65EC,D1AE,xún,xun,2
446,旨,6,352511,U+65E8,D6BC,zhǐ,zhi,3
447,负,6,352534,U+8D1F,B8BA,fù,fu,4
448,各,6,354251,U+5404,B8F7,ɡè,ge,4
449,名,6,354251,U+540D,C3FB,mínɡ,ming,2
450,多,6,354354,U+591A,B6E0,duō,duo,1
451,争,6,355112,U+4E89,D5F9,zhēnɡ,zheng,1
452,色,6,355215,U+8272,C9AB,sè,se,4
453,壮,6,412121,U+58EE,D7B3,zhuànɡ,zhuang,4
454,冲,6,412512,U+51B2,B3E5,chōnɡ,chong,1
455,冰,6,412534,U+51B0,B1F9,bīnɡ,bing,1
456,庄,6,413121,U+5E84,D7AF,zhuānɡ,zhuang,1
457,庆,6,413134,U+5E86,C7EC,qìnɡ,qing,4
458,亦,6,413234,U+4EA6,D2E0,yì,yi,4
459,刘,6,413422,U+5218,C1F5,liú,liu,2
460,齐,6,413432,U+9F50,C6EB,qí,qi,2
461,交,6,413434,U+4EA4,BDBB,jiāo,jiao,1
462,次,6,413534,U+6B21,B4CE,cì,ci,4
463,衣,6,413534,U+8863,D2C2,yī,yi,1
464,产,6,414313,U+4EA7,B2FA,chǎn,chan,3
465,决,6,415134,U+51B3,BEF6,jué,jue,2
466,充,6,415435,U+5145,B3E4,chōnɡ,chong,1
467,妄,6,415531,U+5984,CDFD,wànɡ,wang,4
468,闭,6,425123,U+95ED,B1D5,bì,bi,4
469,问,6,425251,U+95EE,CECA,wèn,wen,4
